UC Davis Medical Center (UCDMC),38.553526,-121.452036
Mercy General Hospital,38.570822,-121.452915
Sutter Sacramento,38.571869,-121.469543
Sutter Davis,38.56217,-121.771366
Woodland Memorial Hospital,38.664962,-121.792232
Rideout Cardiac Rehab,39.138319,-121.593108
Oroville Hospital,39.506062,-121.540898
Adventist Health Feather River,39.757644,-121.57107
